feature,importance
neighbourhood_cleansed_Wakefield,9.827121249693229e-05
amenity_215,9.75997019203162e-05
amenity_236,9.622610870004573e-05
amenity_207,9.557644510807978e-05
neighbourhood_cleansed_Kew Gardens,9.555324488095977e-05
neighbourhood_cleansed_Roosevelt Island,9.510663015831131e-05
property_type_Entire villa,9.495867425516343e-05
amenity_250,9.371011333078307e-05
amenity_127,9.338673383943237e-05
neighbourhood_cleansed_Bayside,9.221970472315825e-05
amenity_187,9.159695939094102e-05
neighbourhood_cleansed_Arrochar,8.94974903483866e-05
neighbourhood_cleansed_Concourse,8.890884464328878e-05
neighbourhood_cleansed_Brownsville,8.84684939502878e-05
amenity_135,8.830289770805726e-05
neighbourhood_cleansed_Richmond Hill,8.817651831020075e-05
neighbourhood_cleansed_Clason Point,8.776882164855535e-05
neighbourhood_cleansed_Maspeth,8.591678739873749e-05
neighbourhood_cleansed_Little Italy,8.568611514895251e-05
neighbourhood_cleansed_Edenwald,8.521045470493776e-05
amenity_50,8.517091527895561e-05
amenity_31,8.48666964392703e-05
amenity_177,8.455409655881149e-05
amenity_166,8.349451203080229e-05
neighbourhood_cleansed_Corona,8.180547609039407e-05
amenity_200,8.146513319527539e-05
amenity_165,8.11264064842128e-05
amenity_35,8.110050330811755e-05
neighbourhood_cleansed_Belmont,7.901994667509974e-05
neighbourhood_cleansed_Gravesend,7.871300817287509e-05
amenity_227,7.85849250324701e-05
amenity_13,7.811612632398524e-05
neighbourhood_cleansed_Rockaway Beach,7.6959885699686e-05
neighbourhood_cleansed_Norwood,7.695464392172097e-05
neighbourhood_cleansed_Mount Hope,7.65179739168634e-05
amenity_255,7.567904289046317e-05
neighbourhood_cleansed_Flatiron District,7.546590915285907e-05
neighbourhood_cleansed_Sheepshead Bay,7.542228990544357e-05
neighbourhood_cleansed_East Morrisania,7.378443701476049e-05
amenity_201,7.289633503808827e-05
neighbourhood_cleansed_Nolita,7.28798563058345e-05
neighbourhood_cleansed_Allerton,7.23263126576983e-05
amenity_21,7.165377219593014e-05
amenity_206,7.110037806041927e-05
neighbourhood_cleansed_Fordham,7.109211234338761e-05
neighbourhood_cleansed_Highbridge,7.077538070270132e-05
amenity_251,6.851736875441053e-05
amenity_17,6.842702245588249e-05
neighbourhood_cleansed_Parkchester,6.792658610050026e-05
amenity_101,6.665665334999306e-05
neighbourhood_cleansed_Claremont Village,6.580044579176142e-05
amenity_45,6.558764124216811e-05
amenity_159,6.509141139437243e-05
neighbourhood_cleansed_South Ozone Park,6.500240623836253e-05
amenity_252,6.379263802172409e-05
amenity_219,6.118687182684431e-05
amenity_67,6.079485163048112e-05
amenity_123,6.0510278252738886e-05
neighbourhood_cleansed_Windsor Terrace,5.8839892151548e-05
neighbourhood_cleansed_Midwood,5.7693622560326755e-05
